FECHA (YYMMDD);HORA (HHMM);;
140129;0300;19,8417;
140129;0400;19,0417;
140129;0500;18,7083;
140129;0600;18,175;
140129;0700;18,9167;
140129;0800;22,5333;
140129;0900;24,25;
140129;1000;26,3;
140129;1100;29,175;
140129;1200;30,9333;
140129;1300;32,25;
140129;1400;33,2667;
140129;1500;34,0333;
140129;1600;34,3666;
140129;1700;33,9416;
140129;1800;;
140129;1900;;
140129;2000;27,7182;
140129;2100;25,85;
140129;2200;25,2083;
140129;2300;24,7083;
140130;0000;24,1083;
140130;0100;23,65;
140130;0200;22,2083;
140130;0300;20,8583;
140130;0400;19,8333;
140130;0500;19,3583;
140130;0600;19,4167;
140130;0700;19,7917;
140130;0800;23,1;
140130;0900;25,1667;
140130;1000;27,3333;
140130;1100;28,8167;
140130;1200;30,6417;
140130;1300;31,4;
140130;1400;32,05;
140130;1500;32,5583;
140130;1600;32,925;
140130;1700;32,025;
140130;1800;31,025;
140130;1900;29,3;
140130;2000;26,775;
140130;2100;24,9;
140130;2200;23,8667;
140130;2300;23,0833;
140131;0000;22,425;
140131;0100;21,775;
140131;0200;21,0167;
140131;0300;20,3417;
140131;0400;19,6667;
140131;0500;19,0083;
140131;0600;18,575;
140131;0700;18,4417;
140131;0800;21,8833;
140131;0900;24,7667;
140131;1000;26,4;
140131;1100;28,6583;
140131;1200;29,9833;
140131;1300;31,8083;
140131;1400;32,625;
140131;1500;32,9416;
140131;1600;33,4333;
140131;1700;33,1;
140131;1800;31,7417;
140131;1900;30,025;
140131;2000;27,4917;
140131;2100;25,7917;
140131;2200;24,9;
140131;2300;23,7417;
140201;0000;23,0833;
140201;0100;22,1667;
140201;0200;21,5667;
140201;0300;20,9833;
140201;0400;20,25;
140201;0500;19,6833;
140201;0600;19,0333;
140201;0700;18,5333;
140201;0800;20,7417;
140201;0900;22,9917;
140201;1000;25,425;
140201;1100;27,325;
140201;1200;29,2167;
140201;1300;29,9583;
140201;1400;30,3667;
140201;1500;30,7333;
140201;1600;30,9083;
140201;1700;29,5833;
140201;1800;28,4417;
140201;1900;26,8916;
140201;2000;25,05;
140201;2100;22,8667;
140201;2200;21,75;
140201;2300;20,6583;
140202;0000;19,7583;
140202;0100;18,85;
