FECHA (YYMMDD);HORA (HHMM);;
140201;0500;16,2583;
140201;0600;15,525;
140201;0700;15,4833;
140201;0800;19,7167;
140201;0900;21,875;
140201;1000;24,575;
140201;1100;26,6417;
140201;1200;27,4667;
140201;1300;28,5083;
140201;1400;28,8417;
140201;1500;29,0916;
140201;1600;29,3833;
140201;1700;28,175;
140201;1800;26,7167;
140201;1900;25,4167;
140201;2000;22,4583;
140201;2100;20,2;
140201;2200;18,8833;
140201;2300;17,5417;
140202;0000;16,525;
140202;0100;15,6;
140202;0200;15,0083;
140202;0300;14,6;
140202;0400;13,625;
140202;0500;13,175;
140202;0600;12,2583;
140202;0700;12,375;
140202;0800;17,6417;
140202;0900;20,6417;
140202;1000;21,025;
140202;1100;23,775;
140202;1200;25,725;
140202;1300;26,6;
140202;1400;26,8833;
140202;1500;27,3583;
140202;1600;27,65;
140202;1700;26,5333;
140202;1800;25,1416;
140202;1900;23,5167;
140202;2000;21,3167;
140202;2100;18,975;
140202;2200;17,225;
140202;2300;16,2;
140203;0000;15,5417;
140203;0100;14,9417;
140203;0200;14,0917;
140203;0300;13,5333;
140203;0400;13,2167;
140203;0500;12,55;
140203;0600;11,85;
140203;0700;11,9;
140203;0800;17,775;
140203;0900;18,6083;
140203;1000;21,3167;
140203;1100;23,4833;
140203;1200;25,6167;
140203;1300;26,7917;
140203;1400;27,575;
140203;1500;28,875;
140203;1600;29,2667;
140203;1700;29,375;
140203;1800;28,7083;
140203;1900;27,0667;
140203;2000;24,05;
140203;2100;21,25;
140203;2200;19,575;
140203;2300;18,4;
140204;0000;17,4083;
140204;0100;16,3333;
140204;0200;15,5833;
140204;0300;14,875;
140204;0400;14,15;
140204;0500;13,2167;
140204;0600;12,575;
140204;0700;13,1583;
140204;0800;19,55;
140204;0900;21,275;
140204;1000;22,6083;
140204;1100;23,7083;
140204;1200;25,0417;
140204;1300;25,9417;
140204;1400;27,0583;
140204;1500;27,8083;
140204;1600;27,9917;
140204;1700;27,3667;
140204;1800;26,0833;
140204;1900;24,6667;
140204;2000;21,3583;
140204;2100;18,5833;
140204;2200;16,3917;
140204;2300;14,8917;
140205;0000;14,2833;
140205;0100;13,7917;
140205;0200;13,1833;
140205;0300;12,7083;
140205;0400;12,3;
140205;0500;12,0083;
140205;0600;11,575;
140205;0700;11,5333;
140205;0800;16,15;
140205;0900;18,6333;
140205;1000;20,0667;
140205;1100;22,5167;
140205;1200;23,6667;
140205;1300;25,65;
140205;1400;26,6583;
140205;1500;26,9583;
140205;1600;27,4083;
140205;1700;27,5583;
140205;1800;26,125;
140205;1900;25,3583;
140205;2000;22,3917;
140205;2100;20,2417;
140205;2200;18,8083;
140205;2300;17,9;
140206;0000;17;
140206;0100;16,3833;
140206;0200;15,65;
140206;0300;14,8667;
140206;0400;14,4667;
140206;0500;13,7667;
140206;0600;12,85;
140206;0700;12,75;
140206;0800;17,8667;
140206;0900;20,3667;
140206;1000;21,8417;
140206;1100;24,8083;
140206;1200;26,075;
140206;1300;27,3333;
140206;1400;28,0083;
140206;1500;29,1667;
140206;1600;29,0083;
140206;1700;28,5917;
140206;1800;27,3917;
140206;1900;25,7167;
140206;2000;22,6667;
140206;2100;20,0167;
140206;2200;18,475;
140206;2300;17,3583;
140207;0000;16,6083;
140207;0100;15,9;
140207;0200;15,0167;
140207;0300;14,0667;
140207;0400;13,3;
140207;0500;12,9167;
140207;0600;12,4;
140207;0700;11,8667;
140207;0800;18,4667;
140207;0900;20,875;
140207;1000;23,225;
140207;1100;24,8;
140207;1200;26,9583;
140207;1300;28,8667;
140207;1400;29,225;
140207;1500;30,0667;
140207;1600;30,05;
140207;1700;29,8583;
140207;1800;28,5833;
140207;1900;25,9667;
140207;2000;22,5083;
140207;2100;20,05;
140207;2200;18,7167;
140207;2300;17,775;
140208;0000;16,8417;
140208;0100;15,6;
140208;0200;14,8;
140208;0300;14,0333;
140208;0400;13,5167;
140208;0500;12,5;
140208;0600;11,7583;
140208;0700;12,025;
140208;0800;16,1;
140208;0900;19,2;
140208;1000;21,35;
140208;1100;24,4;
140208;1200;25,95;
140208;1300;27,9083;
140208;1400;28,5583;
140208;1500;29,325;
140208;1600;29,6417;
140208;1700;30,0917;
140208;1800;28,4;
140208;1900;26,625;
140208;2000;23,525;
140208;2100;21,325;
140208;2200;19,9417;
140208;2300;18,9333;
140209;0000;18;
140209;0100;17,2833;
140209;0200;16,425;
140209;0300;15,6083;
140209;0400;15,3167;
140209;0500;14,4417;
140209;0600;13,7333;
140209;0700;13,45;
140209;0800;18,6417;
140209;0900;21,3083;
140209;1000;24,2333;
140209;1100;26,5583;
140209;1200;27,6583;
140209;1300;29,7917;
140209;1400;30,1167;
140209;1500;31,1083;
140209;1600;31,5167;
140209;1700;31,6083;
140209;1800;30,1;
140209;1900;27,4917;
140209;2000;23,9;
140209;2100;21,55;
140209;2200;20,3583;
140209;2300;19,6083;
140210;0000;19,05;
140210;0100;18,325;
140210;0200;17,875;
140210;0300;17,15;
140210;0400;15,5917;
140210;0500;14,475;
140210;0600;13,9917;
140210;0700;14,125;
140210;0800;18,85;
140210;0900;21,275;
140210;1000;23,2333;
140210;1100;24,575;
140210;1200;26,1333;
140210;1300;27,4167;
140210;1400;28,3167;
140210;1500;29,075;
140210;1600;28,4167;
140210;1700;27,975;
140210;1800;27,5917;
140210;1900;25,5417;
140210;2000;21,8333;
140210;2100;19,1917;
140210;2200;17,5167;
140210;2300;15,8583;
140211;0000;14,8833;
140211;0100;13,9167;
140211;0200;13,6833;
140211;0300;13,2417;
140211;0400;12,3917;
140211;0500;12,0833;
140211;0600;11,9167;
140211;0700;11,225;
140211;0800;14,8917;
140211;0900;17,6667;
140211;1000;20,8333;
140211;1100;23,575;
140211;1200;27,075;
140211;1300;29,1083;
140211;1400;30,85;
140211;1500;30,975;
140211;1600;31,35;
140211;1700;31,375;
140211;1800;30,05;
140211;1900;28,1667;
140211;2000;24,6833;
140211;2100;22,275;
140211;2200;20,8;
140211;2300;19,925;
140212;0000;18,975;
140212;0100;18,4583;
140212;0200;17,5917;
140212;0300;16,625;
140212;0400;15,7;
140212;0500;15,075;
140212;0600;14,975;
140212;0700;15,3333;
140212;0800;20,7167;
140212;0900;23,5083;
140212;1000;25,475;
140212;1100;28,9333;
140212;1200;31,0583;
140212;1300;32,0416;
140212;1400;33,1583;
140212;1500;33,0333;
140212;1600;33,05;
140212;1700;31,8666;
140212;1800;30,875;
140212;1900;28,8667;
140212;2000;25,0583;
140212;2100;22,3833;
140212;2200;21,1583;
140212;2300;20,4;
140213;0000;19,125;
140213;0100;18,675;
140213;0200;17,1333;
140213;0300;16,0833;
140213;0400;15,1917;
140213;0500;14,6833;
140213;0600;14,375;
140213;0700;14,65;
140213;0800;20,55;
140213;0900;22,7917;
140213;1000;26,2833;
140213;1100;27,9333;
140213;1200;28,85;
140213;1300;29,65;
140213;1400;29,5917;
140213;1500;28,8583;
140213;1600;27,675;
140213;1700;26,5333;
140213;1800;25,525;
140213;1900;23,6833;
140213;2000;20,3583;
140213;2100;18,025;
140213;2200;16,8167;
140213;2300;15,2917;
140214;0000;14,2083;
140214;0100;13,3;
140214;0200;12,5917;
140214;0300;12,4917;
140214;0400;13,1833;
140214;0500;13,4833;
140214;0600;13,5167;
140214;0700;13,7083;
140214;0800;14,3083;
140214;0900;16,5833;
140214;1000;18,95;
140214;1100;21,725;
140214;1200;22,7833;
140214;1300;23,5833;
140214;1400;24,8667;
140214;1500;25,6917;
140214;1600;26,2667;
140214;1700;25,575;
140214;1800;24,3167;
140214;1900;22,0167;
140214;2000;18,8917;
140214;2100;16,9083;
140214;2200;15,3833;
140214;2300;14,6;
140215;0000;14,05;
140215;0100;13,5667;
140215;0200;13,0417;
140215;0300;12,7167;
140215;0400;12,275;
140215;0500;11,9583;
140215;0600;11,8583;
140215;0700;11,7167;
140215;0800;13,6417;
140215;0900;16,1833;
140215;1000;17,9167;
140215;1100;19,6;
140215;1200;21,1833;
140215;1300;22,9667;
140215;1400;23,6833;
140215;1500;22,3667;
140215;1600;21,5667;
140215;1700;20,1;
140215;1800;19,6167;
140215;1900;18,5833;
140215;2000;17,0083;
140215;2100;15,9667;
140215;2200;15,2833;
140215;2300;14,7333;
140216;0000;14,35;
140216;0100;14,1;
140216;0200;14,0583;
140216;0300;13,7667;
140216;0400;13,8;
140216;0500;13,6167;
140216;0600;13,3;
140216;0700;12,5083;
140216;0800;14,075;
140216;0900;16,9917;
140216;1000;21,625;
140216;1100;21,7917;
140216;1200;25,7167;
140216;1300;27,6;
140216;1400;29,1833;
140216;1500;29,6917;
140216;1600;30,0167;
140216;1700;29,7833;
140216;1800;28,5667;
140216;1900;26,5583;
140216;2000;23,0917;
140216;2100;20,6917;
140216;2200;19,3917;
140216;2300;18,3083;
140217;0000;17,2917;
140217;0100;16,4667;
140217;0200;15,825;
140217;0300;15,1167;
140217;0400;14,6417;
140217;0500;14,05;
140217;0600;13,325;
140217;0700;13,1917;
140217;0800;19,8833;
140217;0900;22,9;
140217;1000;24,6417;
140217;1100;25,6167;
140217;1200;27,2833;
140217;1300;29,1417;
140217;1400;29,525;
140217;1500;30,05;
140217;1600;30,2917;
140217;1700;29,5833;
140217;1800;28,0333;
140217;1900;25,5583;
140217;2000;21,8167;
140217;2100;19,95;
140217;2200;18,7417;
140217;2300;17,7666;
140218;0000;17,3833;
140218;0100;16,5417;
140218;0200;15,0083;
140218;0300;13,9333;
140218;0400;13,0833;
140218;0500;12,0333;
140218;0600;11,3667;
140218;0700;11,4417;
140218;0800;12,3;
140218;0900;16,75;
140218;1000;20,0333;
140218;1100;22,6667;
140218;1200;24;
140218;1300;27,0583;
140218;1400;27,45;
140218;1500;28;
140218;1600;27,5917;
140218;1700;27,5083;
140218;1800;26,4583;
140218;1900;24,4417;
140218;2000;21,8667;
140218;2100;20,05;
140218;2200;18,6333;
140218;2300;17,6583;
140219;0000;17,0917;
140219;0100;16,0583;
140219;0200;15,2583;
140219;0300;14,7833;
140219;0400;14,0167;
140219;0500;13,25;
140219;0600;13,0917;
140219;0700;12,9167;
140219;0800;17,0667;
140219;0900;20;
140219;1000;23,7;
140219;1100;25,2;
140219;1200;28,2;
140219;1300;29,2083;
140219;1400;30,1;
140219;1500;30,6667;
140219;1600;30,6333;
140219;1700;30,175;
140219;1800;28,8417;
