FECHA (YYMMDD);HORA (HHMM);;
140205;0400;12,6333;
140205;0500;11,8167;
140205;0600;11,5667;
140205;0700;11,9167;
140205;0800;15,2167;
140205;0900;18,0667;
140205;1000;19,7917;
140205;1100;21,7;
140205;1200;23,0333;
140205;1300;25,0917;
140205;1400;25,8667;
140205;1500;27,0417;
140205;1600;27,375;
140205;1700;27,2833;
140205;1800;26,1583;
140205;1900;25,25;
140205;2000;22,9667;
140205;2100;20,6;
140205;2200;19,5833;
140205;2300;18,6083;
140206;0000;17,4417;
140206;0100;16,6583;
140206;0200;16,1167;
140206;0300;15;
140206;0400;14,55;
140206;0500;13,7333;
140206;0600;13,3333;
140206;0700;13,45;
140206;0800;18,075;
140206;0900;20,025;
140206;1000;22,575;
140206;1100;24,175;
140206;1200;25,5417;
140206;1300;26,55;
140206;1400;27,7417;
140206;1500;28,4083;
140206;1600;28,9583;
140206;1700;28,6167;
140206;1800;27,45;
140206;1900;26,35;
140206;2000;23,4;
140206;2100;20,65;
140206;2200;18,8333;
140206;2300;17,8583;
140207;0000;17,2;
140207;0100;16,5833;
140207;0200;15,4667;
140207;0300;14,7;
140207;0400;13,775;
140207;0500;13,0083;
140207;0600;12,6583;
140207;0700;12,7917;
140207;0800;16,5583;
140207;0900;20,2417;
140207;1000;21,8917;
140207;1100;24,225;
140207;1200;25,9417;
140207;1300;27,3583;
140207;1400;28,725;
140207;1500;29,5583;
140207;1600;29,9833;
140207;1700;30,05;
140207;1800;28,9;
140207;1900;27,025;
140207;2000;23,3083;
140207;2100;20,7167;
140207;2200;19,2;
140207;2300;18,1917;
140208;0000;16,9083;
140208;0100;16,2;
140208;0200;15,6083;
140208;0300;14,3083;
140208;0400;12,9417;
140208;0500;12,4;
140208;0600;12,0667;
140208;0700;12,4;
140208;0800;15,65;
140208;0900;17,4167;
140208;1000;20,3417;
140208;1100;24,5583;
140208;1200;25,8333;
140208;1300;26,925;
140208;1400;28,2167;
140208;1500;28,8417;
140208;1600;29,1666;
140208;1700;29,3;
140208;1800;28,45;
140208;1900;27,3333;
140208;2000;24,525;
140208;2100;21,95;
140208;2200;20,8;
140208;2300;19,7583;
140209;0000;18,6833;
140209;0100;17,8167;
140209;0200;17,1333;
140209;0300;16,2667;
140209;0400;15,2083;
140209;0500;14,6167;
140209;0600;14,0833;
140209;0700;14,1167;
140209;0800;17,9;
140209;0900;20,8;
140209;1000;23,025;
140209;1100;25,8917;
140209;1200;27,2167;
140209;1300;28,7666;
140209;1400;29,6917;
140209;1500;30,3333;
140209;1600;30,8083;
140209;1700;30,825;
140209;1800;29,8917;
140209;1900;28,175;
140209;2000;25,15;
140209;2100;21,925;
140209;2200;20,6083;
140209;2300;19,6;
140210;0000;18,8417;
140210;0100;18,2917;
140210;0200;17,675;
140210;0300;15,7333;
140210;0400;14,8583;
140210;0500;14,7083;
140210;0600;14,425;
140210;0700;14,825;
140210;0800;17,225;
140210;0900;19,275;
140210;1000;21,9083;
140210;1100;23,6167;
140210;1200;25,2417;
140210;1300;26,7417;
140210;1400;27,85;
140210;1500;28,45;
140210;1600;28,0667;
140210;1700;27,5583;
140210;1800;26,625;
140210;1900;24,5167;
140210;2000;21,325;
140210;2100;18,975;
140210;2200;16,9083;
140210;2300;15,5167;
140211;0000;14,7333;
140211;0100;13,925;
140211;0200;13,6083;
140211;0300;12,75;
140211;0400;12,1833;
140211;0500;11,8667;
140211;0600;11,7;
140211;0700;10,8833;
140211;0800;12,3583;
140211;0900;15,8417;
140211;1000;19,9833;
140211;1100;23,3;
140211;1200;26,1083;
140211;1300;27,9583;
140211;1400;29,4417;
140211;1500;30,4416;
140211;1600;30,9167;
140211;1700;30,5667;
140211;1800;29,9167;
140211;1900;28,4083;
140211;2000;25,2833;
140211;2100;22,55;
140211;2200;21,1833;
140211;2300;20,3;
140212;0000;19,5917;
140212;0100;18,5417;
140212;0200;17,325;
140212;0300;16,75;
140212;0400;15,8833;
140212;0500;15,6333;
140212;0600;15,3;
140212;0700;15,1667;
140212;0800;20,3833;
140212;0900;22,2917;
140212;1000;25,2833;
140212;1100;28,3583;
140212;1200;29,575;
140212;1300;31,7583;
140212;1400;32,875;
140212;1500;33,2416;
140212;1600;32,7833;
140212;1700;31,625;
140212;1800;30,8;
140212;1900;29,4083;
140212;2000;26,1167;
140212;2100;22,7667;
140212;2200;21,0667;
140212;2300;20,325;
140213;0000;19,8917;
140213;0100;18,1167;
